agent_name,agent_id,agency_name,agency_id,commission_period,commission_amount,plan_name,is_adjusted,effective_date,term_date,carrier_name,description
Lisa Norris,40245312.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Patty S Jackson,88601985.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Bonnie Parks,97703304.0,Delta Care Corporation,52115295.0,2024-06,116.6,Wellcare Fidelis Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Mark Blevins,51645827.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
James Martinez Jr,82104220.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Cesar A White Sanders,49399610.0,Delta Care Corporation,52115295.0,2024-05,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),True,2024-05-01,,Centene,
Cesar A White Sanders,49399610.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Bonnie Parks,97703304.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
James F Scott,35606987.0,Delta Care Corporation,52115295.0,2023-01,15.0,WellCare Classic (PDP),False,2023-01-01,2023-12-31,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2023-01,15.0,WellCare Classic (PDP),False,2023-01-01,,Centene,
Alexis Huang,51863812.0,Delta Care Corporation,52115295.0,2023-03,8.75,WellCare Classic (PDP),False,2023-03-01,2023-07-31,Centene,
Michelle Baker,55786404.0,Delta Care Corporation,52115295.0,2023-12,15.0,WellCare Classic (PDP),False,2023-12-01,2023-12-31,Centene,
Daniel A Holland Parks,32015536.0,Delta Care Corporation,52115295.0,2024-02,-8.75,WellCare Value Script (PDP),False,2024-02-01,2024-05-31,Centene,
Stephanie D Wright,38568039.0,Delta Care Corporation,52115295.0,2024-02,-8.75,WellCare Value Script (PDP),False,2024-02-01,2024-05-31,Centene,
Shelly Johnston,91795646.0,Shelly Johnston,91795646.0,2024-05,-3.0,WellCare Value Script (PDP),False,2024-05-01,2024-05-31,Centene,
Shelly Johnston,91795646.0,Delta Care Corporation,52115295.0,2024-05,-12.0,WellCare Value Script (PDP),False,2024-05-01,2024-05-31,Centene,
Diana Foster,62848321.0,Diana Foster,62848321.0,2024-06,3.0,WellCare Value Script (PDP),True,2024-06-01,,Centene,
Diana Foster,62848321.0,Delta Care Corporation,52115295.0,2024-06,12.0,WellCare Value Script (PDP),True,2024-06-01,,Centene,
Christopher Peterson,49623681.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Value Script (PDP),False,2024-06-01,,Centene,
Diana Foster,62848321.0,Diana Foster,62848321.0,2024-06,3.0,WellCare Value Script (PDP),False,2024-06-01,,Centene,
Diana Foster,62848321.0,Delta Care Corporation,52115295.0,2024-06,12.0,WellCare Value Script (PDP),False,2024-06-01,,Centene,
Mark Blevins,51645827.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Mark Blevins,51645827.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Shelly Johnston,91795646.0,Shelly Johnston,91795646.0,2024-06,3.0,WellCare Value Script (PDP),False,2024-06-01,,Centene,
Shelly Johnston,91795646.0,Delta Care Corporation,52115295.0,2024-06,12.0,WellCare Value Script (PDP),False,2024-06-01,,Centene,
Diana Foster,62848321.0,Diana Foster,62848321.0,2024-06,3.0,WellCare Classic (PDP),True,2024-06-01,,Centene,
Diana Foster,62848321.0,Delta Care Corporation,52115295.0,2024-06,12.0,WellCare Classic (PDP),True,2024-06-01,,Centene,
Stephen Moore,63683376.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Diana Foster,62848321.0,Diana Foster,62848321.0,2024-06,3.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Diana Foster,62848321.0,Delta Care Corporation,52115295.0,2024-06,12.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Jennifer Jackson,75165345.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Jeremy Long,90790361.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-01,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-02,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-03,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-04,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-05,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-06,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-07,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-08,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-09,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-10,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-11,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2023-12,6.36,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-01,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-02,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-03,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-04,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-05,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-06,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-07,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-08,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-09,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-10,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-11,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2023-12,2.12,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2024-01,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2024-02,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2024-03,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2024-04,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Jeremiah Hartman,53535642.0,2024-05,6.24,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2024-01,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2024-02,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2024-03,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2024-04,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cody Ho,34686785.0,Charlene Howard,96615329.0,2024-05,2.08,Wellcare Dual Access (HMO D-SNP),False,2021-01-01,,Centene,
Cassandra Farmer,60320559.0,Delta Care Corporation,52115295.0,2024-05,-16.68,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-10-01,,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-01,-16.68,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-11-01,2023-11-01,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-02,-16.68,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-11-01,2023-11-01,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-03,-16.68,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-11-01,2023-11-01,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-04,-16.68,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-11-01,2023-11-01,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-05,-16.68,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-11-01,2023-11-01,Centene,
Hailey Holloway,99214984.0,Delta Care Corporation,52115295.0,2023-01,0.59,WellCare Classic (PDP),False,2022-12-01,2023-03-31,Centene,
Hailey Holloway,99214984.0,Delta Care Corporation,52115295.0,2023-02,0.59,WellCare Classic (PDP),False,2022-12-01,2023-03-31,Centene,
Hailey Holloway,99214984.0,Delta Care Corporation,52115295.0,2023-03,0.59,WellCare Classic (PDP),False,2022-12-01,2023-03-31,Centene,
Diana Foster,62848321.0,Diana Foster,62848321.0,2023-01,0.12,WellCare Classic (PDP),False,2022-12-01,2023-01-31,Centene,
Diana Foster,62848321.0,Delta Care Corporation,52115295.0,2023-01,0.47,WellCare Classic (PDP),False,2022-12-01,2023-01-31,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-01,0.59,WellCare Classic (PDP),False,2023-01-01,,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-02,0.59,WellCare Classic (PDP),False,2023-01-01,,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-03,0.59,WellCare Classic (PDP),False,2023-01-01,,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-04,0.59,WellCare Classic (PDP),False,2023-01-01,,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-05,0.59,WellCare Classic (PDP),False,2023-01-01,,Centene,
Christopher Peterson,49623681.0,Delta Care Corporation,52115295.0,2024-01,0.0,WellCare Classic (PDP),False,2023-10-01,,Centene,
Christopher Peterson,49623681.0,Delta Care Corporation,52115295.0,2024-02,0.0,WellCare Classic (PDP),False,2023-10-01,,Centene,
Christopher Peterson,49623681.0,Delta Care Corporation,52115295.0,2024-03,0.0,WellCare Classic (PDP),False,2023-10-01,,Centene,
Christopher Peterson,49623681.0,Delta Care Corporation,52115295.0,2024-04,0.0,WellCare Classic (PDP),False,2023-10-01,,Centene,
Christopher Peterson,49623681.0,Delta Care Corporation,52115295.0,2024-05,0.0,WellCare Classic (PDP),False,2023-10-01,,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-01,-116.6,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-01-01,2024-05-31,Centene,
Janet Cooper,76741898.0,Delta Care Corporation,52115295.0,2024-02,-99.92,Wellcare Dual Access (HMO D-SNP),True,2024-02-01,,Centene,
Brittany L Smith,53497310.0,Delta Care Corporation,52115295.0,2024-02,-116.6,Wellcare Dual Access (HMO D-SNP),True,2024-02-01,2024-05-31,Centene,
Alexis Baker Jr,25856129.0,Delta Care Corporation,52115295.0,2024-05,-200.0,Wellcare Giveback Open (PPO),True,2024-05-01,2024-05-31,Centene,
Lisa Norris,40245312.0,Delta Care Corporation,52115295.0,2024-05,-200.0,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,2024-05-31,Centene,
Lisa Norris,40245312.0,Delta Care Corporation,52115295.0,2024-05,-83.4,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,2024-05-31,Centene,
Jacqueline Flores,35998018.0,Delta Care Corporation,52115295.0,2024-05,-200.0,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,2024-05-31,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Monique Gibson,81472479.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Mark Blevins,51645827.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Assist (HMO-POS),False,2024-06-01,,Centene,
Bonnie Parks,97703304.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Assist Open (PPO),False,2024-06-01,,Centene,
Kirk Baker,39110636.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Todd Scott,72208713.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Kirk Baker,39110636.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Hunter Lee,92689628.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Giveback Open (PPO),False,2024-06-01,,Centene,
Eric R Wilson,58970362.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Giveback Open (PPO),False,2024-06-01,,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-07,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-07-01,,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-07,200.0,Wellcare Giveback Open (PPO),False,2024-07-01,,Centene,
Joseph Hanson,63620946.0,Delta Care Corporation,52115295.0,2024-01,-7.5,WellCare Value Script (PDP),True,2024-01-01,2024-06-30,Centene,
Diana Foster,62848321.0,Diana Foster,62848321.0,2024-02,-1.75,WellCare Classic (PDP),True,2024-02-01,2024-05-31,Centene,
Diana Foster,62848321.0,Delta Care Corporation,52115295.0,2024-02,-7.0,WellCare Classic (PDP),True,2024-02-01,2024-05-31,Centene,
Stephen Moore,63683376.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Value Script (PDP),False,2024-06-01,,Centene,
Brittany L Smith,53497310.0,Delta Care Corporation,52115295.0,2024-06,15.0,WellCare Classic (PDP),False,2024-06-01,,Centene,
Monica Page,46262788.0,Delta Care Corporation,52115295.0,2024-07,15.0,WellCare Classic (PDP),False,2024-07-01,,Centene,
David T Lambert,28446902.0,Delta Care Corporation,52115295.0,2024-05,-16.68,Wellcare Patriot No Premium (HMO),True,2024-04-01,2024-04-30,Centene,
Daniel A Holland Parks,32015536.0,Delta Care Corporation,52115295.0,2024-05,16.68,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-05,16.68,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,,Centene,
Diana Foster,21429666.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Monique Gibson,81472479.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Diana Foster,21429666.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Diana Foster,21429666.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Diana Foster,21429666.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Diana Foster,21429666.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Diana Foster,21429666.0,Delta Care Corporation,52115295.0,2024-06,8.33,Wellcare Fidelis Dual Access (HMO D-SNP),False,2022-01-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,-200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-06-01,2024-06-01,Centene,
Mark Jacobs,29802125.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare No Premium (HMO),False,2024-06-01,,Centene,
Eric R Wilson,58970362.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2024-02,-133.28,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-02-01,2024-05-31,Centene,
Zachary Tucker,40760249.0,Delta Care Corporation,52115295.0,2024-03,-99.92,Wellcare Giveback Open (PPO),True,2024-03-01,2024-06-30,Centene,
Stephen Moore,63683376.0,Delta Care Corporation,52115295.0,2024-06,-15.0,WellCare Value Script (PDP),False,2024-06-01,2024-06-30,Centene,
Marvin Carpenter,51343553.0,Delta Care Corporation,52115295.0,2024-05,-15.0,WellCare Value Script (PDP),False,2024-05-01,2024-06-30,Centene,
Todd Martinez,62936036.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Dual Access (HMO D-SNP),False,2023-05-01,,Centene,
Christopher Peterson,49623681.0,Charlene Howard,96615329.0,2024-06,8.32,Wellcare No Premium (HMO),True,2022-01-01,,Centene,
Cesar A White Sanders,49399610.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Fidelis Dual Access (HMO D-SNP),True,2022-01-01,,Centene,
Alexis Huang,51863812.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Dual Access (HMO D-SNP),True,2024-01-01,,Centene,
Stephen Moore,63683376.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare No Premium (HMO),False,2023-09-01,,Centene,
Alexis Huang,51863812.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2023-01-01,,Centene,
Hailey Holloway,99214984.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Giveback Open (PPO),False,2023-02-01,,Centene,
Elizabeth Roth,16139763.0,Charlene Howard,96615329.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2021-10-01,,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Dual Access (HMO D-SNP),True,2024-02-01,,Centene,
Chris Bell,92802488.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2022-02-01,,Centene,
Chris Bell,92802488.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2022-04-01,,Centene,
Elizabeth Roth,16139763.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Fidelis Dual Access (HMO D-SNP),True,2022-03-01,,Centene,
Jennifer Jackson,75165345.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare No Premium Open (PPO),True,2023-01-01,,Centene,
Jennifer Jackson,75165345.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2022-04-01,,Centene,
Daniel A Holland Parks,32015536.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,,Centene,
Daniel A Holland Parks,32015536.0,Charlene Howard,96615329.0,2024-06,8.32,Wellcare Giveback Open (PPO),True,2021-05-01,,Centene,
Laurie Lee,41520605.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Dual Access (HMO D-SNP),True,2024-02-01,,Centene,
Lisa Lee,43815230.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2022-02-01,,Centene,
Daniel A Holland Parks,32015536.0,Delta Care Corporation,52115295.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2022-04-01,,Centene,
Javier Meyers,55024135.0,Delta Care Corporation,52115295.0,2024-06,16.68,Wellcare Fidelis Dual Access (HMO D-SNP),True,2022-09-01,,Centene,
Evan Barry,18510438.0,Charlene Howard,96615329.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2021-10-01,,Centene,
Evan Barry,18510438.0,Charlene Howard,96615329.0,2024-06,8.32,Wellcare Dual Access (HMO D-SNP),True,2021-09-01,,Centene,
